PRT_ID,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,CRIME-CHILDREN,CRIME-THEFT,CRIME RATE,Estimate,COMMI,RENT
P03263,Chrompet,1065,116,1,1,3,Yes,4.9,3.7,4.3,3014000,182993,18299.3
P05463,Velachery,1870,179,3,2,5,No,2.7,3.5,3.1,3789480,99723,9972.3
P02095,Adyar,1092,84,1,1,3,Yes,3.6,3.6,3.6,2734660,33147,3314.7
P04411,Karapakkam,518,32,1,1,2,No,4.3,3.4,3.85,1861020,37980,3798
P02266,Anna Nagar,1929,71,2,1,5,No,3.1,2.1,2.6,4471480,173891,17389.1
P04589,Karapakkam,573,65,1,1,2,Yes,4.7,2.1,3.4,2448320,47772,4777.2
P02187,Adyar,1174,80,1,1,3,Yes,4.4,2.7,3.55,5135940,128399,12839.9
P03438,Velachery,1665,122,2,1,4,Yes,2.8,4.8,3.8,4260750,152950,15295
P09224,Chrompet,749,106,1,1,2,No,4.1,3.2,3.65,2818180,136639,13663.9
P08410,Adyar,1044,61,1,1,3,No,3.8,4.4,4.1,2830250,100428,10042.8
P09790,Velachery,1693,6,2,1,4,Yes,4.8,3.1,3.95,3627670,83715,8371.5
P09729,Velachery,1790,126,2,1,4,No,3.1,3.7,3.4,3873460,107596,10759.6
P04857,Karapakkam,566,66,1,1,2,Yes,3.4,2.8,3.1,3746890,219330,21933
P06887,Chrompet,925,90,1,1,3,No,4.2,3.2,3.7,3491960,60206,6020.6
P04640,Karapakkam,914,43,1,1,3,Yes,3.7,5,4.35,3587900,98667,9866.7
P00207,Chrompet,1223,128,2,1,4,No,4.4,4.5,4.45,3185820,96540,9654
P03508,Karapakkam,1371,60,2,2,4,No,2.1,3.1,2.6,2507860,155894,15589.4
P05938,Adyar,702,70,1,1,2,No,3.7,4.2,3.95,1957700,88986,8898.6
P03547,Velachery,1509,143,2,1,4,Yes,2.6,4.9,3.75,5246420,189454,18945.4
P05288,Karapakkam,886,8,1,1,2,No,4.5,2.1,3.3,2484090,96940,9694
P05420,Karapakkam,526,75,1,1,2,No,3.2,2.9,3.05,1519120,52220,5222
P02326,Adyar,789,17,1,1,2,Yes,4.9,2.3,3.6,4475770,60483,6048.3
P06785,Velachery,2000,72,3,2,5,No,2.6,5,3.8,3540430,123915,12391.5
P07151,Anna Nagar,1644,62,1,1,4,No,4.3,3.9,4.1,3229440,196073,19607.3
P04014,KK Nagar,1545,142,2,1,4,No,3.9,2,2.95,6467420,140596,14059.6
P08263,Adyar,1240,130,2,2,4,No,2.9,2.7,2.8,3901960,31638,3163.8
P07365,KK Nagar,2316,193,4,2,6,Yes,2.4,4.2,3.3,6290000,267660,26766
P09960,Velachery,1959,35,3,2,5,Yes,2.8,4.3,3.55,3255360,158118,15811.8
P02196,Karapakkam,1187,96,1,1,3,No,3,3.5,3.25,3189590,215513,21551.3
P07441,Chrompet,1032,10,1,1,3,Yes,4.8,2,3.4,2215990,144892,14489.2
P09069,Velachery,1643,42,2,1,4,Yes,3.1,2.4,2.75,5461230,287433,28743.3
P05937,Velachery,1591,142,2,1,4,Yes,4.1,3.1,3.6,2534660,92169,9216.9
P05930,KK Nagar,1742,143,2,1,4,No,2.9,4.9,3.9,3849720,197422,19742.2
P01100,Chrompet,1295,190,2,1,4,Yes,2.4,3.5,2.95,3524680,56850,5685
P03395,Adyar,949,98,1,1,3,Yes,3.1,4.9,4,4050210,109465,10946.5
P07971,KK Nagar,1542,65,2,1,4,Yes,2.6,4.7,3.65,3706590,171073,17107.3
P04746,Adyar,709,89,1,1,2,Yes,4.5,5,4.75,3061980,112273,11227.3
P08162,Chrompet,809,196,1,1,3,Yes,4.8,5,4.9,3367760,56129,5612.9
P07666,Adyar,607,143,1,1,2,Yes,5,3.5,4.25,2865810,111448,11144.8
P04537,Karapakkam,844,62,1,1,2,No,2.6,5,3.8,3190300,73622,7362.2
P03593,T Nagar,1689,71,1,1,4,Yes,2,4.9,3.45,4996170,111026,11102.6
P01054,Anna Nagar,1578,179,1,1,4,Yes,3.8,4.2,4,5141460,202952,20295.2
P07884,Velachery,1914,97,3,2,5,Yes,4.3,4.2,4.25,4757620,193278,19327.8
P01290,Chrompet,1085,159,1,1,3,Yes,4.1,4.2,4.15,3064300,105666,10566.6
P00320,T Nagar,1678,38,1,1,4,No,3.2,2.5,2.85,4421510,187064,18706.4
P04621,Karapakkam,1293,24,1,1,3,Yes,4.3,2.5,3.4,2610950,63510,6351
P03877,T Nagar,1534,62,1,1,4,Yes,2.7,4.8,3.75,5407870,216315,21631.5
P06541,Anna Nagar,1581,13,1,1,4,No,4,3.3,3.65,3160340,146730,14673
P08952,Chrompet,705,168,1,1,2,Yes,3.1,4.1,3.6,2479390,116222,11622.2
P04902,Chrompet,1076,51,1,1,3,No,3.8,3.4,3.6,2078010,42993,4299.3
P01800,Velachery,1926,139,3,2,5,No,2.8,4.3,3.55,3419940,107998,10799.8
P08866,T Nagar,1627,52,1,1,4,Yes,4.5,4.2,4.35,4575110,201843,20184.3
P04898,Karapakkam,822,122,1,1,2,No,2.4,4.3,3.35,3241150,102768,10276.8
P09112,Velachery,1808,170,3,2,5,No,2.7,3.9,3.3,3973880,115033,11503.3
P04962,T Nagar,1626,22,1,1,4,Yes,4,4.1,4.05,4134070,82681,8268.1
P09567,Velachery,1553,160,2,1,4,Yes,3.2,3.5,3.35,4492050,140377,14037.7
P04072,Karapakkam,870,96,1,1,2,Yes,4.6,2.3,3.45,3545800,229998,22999.8
P07859,Anna Nagar,1792,155,1,1,4,No,2.1,5,3.55,4245600,232823,23282.3
P09852,Velachery,1722,139,2,1,4,Yes,4.2,2.5,3.35,3657540,219452,21945.2
P09042,T Nagar,1923,48,2,1,5,Yes,4.1,5,4.55,5173650,114970,11497
P01141,Chrompet,1070,136,1,1,3,No,4.5,2.8,3.65,2653040,66326,6632.6
P00805,Chrompet,723,181,1,1,2,Yes,3.9,4.8,4.35,2621850,50420,5042
P05860,T Nagar,1902,11,2,1,5,Yes,5,2.7,3.85,6240160,344285,34428.5
P03638,KK Nagar,2026,110,3,2,5,No,2.6,3.3,2.95,8422920,298312,29831.2
P05972,Anna Nagar,1798,34,1,1,4,Yes,2.3,4.3,3.3,3501720,175086,17508.6
P09829,Velachery,1931,45,3,2,5,Yes,2.3,4.8,3.55,6195300,137673,13767.3
P07286,KK Nagar,1975,172,3,2,5,No,4.6,2.5,3.55,3746780,243035,24303.5
P01416,Chrompet,1197,33,1,1,3,No,3.2,3.3,3.25,2079540,24954,2495.4
P02104,Adyar,683,98,1,1,2,Yes,4.3,3.5,3.9,3087730,81256,8125.6
P03028,Karapakkam,1128,197,1,1,3,Yes,4.8,2.8,3.8,3379110,64364,6436.4
P07450,Chrompet,1151,170,1,1,3,Yes,2.7,3.7,3.2,2058260,32932,3293.2
P08176,Chrompet,1098,124,1,1,3,No,4.3,3.6,3.95,2722320,136116,13611.6
P06305,Karapakkam,1024,15,1,1,3,No,3.6,2.5,3.05,3198390,131216,13121.6
P01242,Chrompet,1212,28,2,1,4,Yes,3.8,2.7,3.25,4225050,231696,23169.6
P02341,KK Nagar,1887,80,3,2,5,No,4.3,4.5,4.4,3783800,164935,16493.5
P01842,Karapakkam,889,178,1,1,3,Yes,3.2,2.9,3.05,2173190,62091,6209.1
P06403,Chrompet,1157,46,1,1,3,No,4.2,2.3,3.25,2641530,35220,3522
P07301,Chrompet,753,4,1,1,2,Yes,4.9,3.9,4.4,2487630,133266,13326.6
P09454,Chrompet,784,158,1,1,2,No,3.8,2,2.9,2505120,68322,6832.2
P02514,Adyar,672,195,1,1,2,Yes,2.3,4.8,3.55,2136400,74774,7477.4
P01440,Adyar,783,160,1,1,2,Yes,3.3,2.8,3.05,3638920,21405,2140.5
P07960,KK Nagar,1947,75,3,2,5,No,4,2.4,3.2,3688700,89423,8942.3
P07390,KK Nagar,1414,61,2,1,4,No,3.6,4.8,4.2,3514600,171224,17122.4
P08137,Adyar,949,168,1,1,3,No,2.2,2.1,2.15,4419100,90648,9064.8
P02599,Velachery,1511,54,2,1,4,Yes,2.9,2,2.45,4253890,196333,19633.3
P07625,KK Nagar,1515,149,2,1,4,No,4.5,2,3.25,3508510,128360,12836
P07970,T Nagar,1589,104,1,1,4,Yes,2.1,3.4,2.75,4721400,256304,25630.4
P00038,Anna Nagar,1655,10,1,1,4,Yes,4.6,3.4,4,4705910,165343,16534.3
P07030,Velachery,1576,133,2,1,4,Yes,3.9,4.3,4.1,3319590,97635,9763.5
P03591,KK Nagar,2500,43,4,2,6,No,2.9,3.6,3.25,4270780,146427,14642.7
P00492,Chrompet,1258,196,2,1,4,No,4.6,3.7,4.15,2701560,90052,9005.2
P05265,Chrompet,948,84,1,1,3,Yes,4.2,2.2,3.2,3592060,210569,21056.9
P09261,Velachery,1734,134,2,1,4,No,4.7,3.3,4,3193470,81884,8188.4
P09858,Velachery,1690,60,2,1,4,Yes,2.1,2.3,2.2,3540560,86122,8612.2
P04062,Karapakkam,738,108,1,1,2,No,4.4,4.9,4.65,2197650,109883,10988.3
P00260,Chrompet,1168,79,1,1,3,Yes,4.9,2.9,3.9,3973060,106967,10696.7
P01610,Karapakkam,523,127,1,1,2,Yes,4.4,4.2,4.3,3577820,174731,17473.1
P05645,KK Nagar,1356,80,2,1,4,Yes,3.3,4.6,3.95,3518140,189438,18943.8
P00336,Anna Nagar,1867,178,2,1,5,Yes,4.2,3.4,3.8,5740460,271077,27107.7
P07797,Velachery,1913,164,3,2,5,Yes,3.8,2.9,3.35,4597500,206888,20688.8
P02312,Anna Nagar,1905,118,2,1,5,No,2.4,2.9,2.65,3733750,99567,9956.7
P04276,Chrompet,1270,74,2,1,4,Yes,2.1,2.3,2.2,3606160,109278,10927.8
P05730,Adyar,1283,90,2,2,4,Yes,2.9,2.3,2.6,4853670,199857,19985.7
P02704,T Nagar,1507,123,1,1,4,Yes,2,3.1,2.55,5297980,176599,17659.9
P00232,Chrompet,821,49,1,1,3,No,4.1,4.7,4.4,2342340,28392,2839.2
P07615,Adyar,758,38,1,1,2,No,4.6,4,4.3,3006010,7708,770.8
P06795,T Nagar,1937,58,2,1,5,No,3.4,3.2,3.3,4495610,105779,10577.9
P06949,Chrompet,1116,80,1,1,3,No,4.4,2.6,3.5,2288840,49047,4904.7
P04559,KK Nagar,1527,84,2,1,4,No,4.3,4.4,4.35,3909760,117293,11729.3
P05689,KK Nagar,1551,67,2,1,4,Yes,4.7,2,3.35,5428390,121862,12186.2
P04881,T Nagar,1729,72,1,1,4,No,4.7,4.2,4.45,5743980,95733,9573.3
P05848,Karapakkam,1462,53,2,2,4,Yes,3.7,3.8,3.75,3295160,225954,22595.4
P05839,Velachery,1645,81,2,1,4,Yes,4.5,3.8,4.15,3861600,128720,12872
P04496,Velachery,1918,161,3,2,5,Yes,2.4,2.3,2.35,5160950,241920,24192
P08638,T Nagar,1872,35,2,1,5,No,3.8,4.5,4.15,8246200,325508,32550.8
P09949,Velachery,1933,100,3,2,5,Yes,4.9,2.3,3.6,3465000,71338,7133.8
P09995,Velachery,1607,193,2,1,4,Yes,3.8,4.3,4.05,3372170,163499,16349.9
P08243,KK Nagar,1510,190,2,1,4,No,3.3,4.7,4,3452890,207173,20717.3
P02538,Velachery,1817,156,3,2,5,No,4.2,4.5,4.35,3718940,85004,8500.4
P07590,Anna Nagar,1527,68,1,1,4,Yes,2.5,4.1,3.3,2884590,202989,20298.9
P00710,Anna Nagar,1933,100,2,1,5,Yes,3.2,4.1,3.65,6137000,92055,9205.5
P02942,Adyar,1279,5,2,2,4,Yes,2.9,2.8,2.85,2947810,104600,10460
P03092,Karapakkam,907,3,1,1,3,Yes,2.5,2.4,2.45,2453920,145702,14570.2
P07694,KK Nagar,1405,1,2,1,4,Yes,2.5,4.5,3.5,3233290,107776,10777.6
P03788,Karapakkam,1129,40,1,1,3,No,3.5,4,3.75,2998300,78903,7890.3
P08111,Velachery,1603,87,2,1,4,Yes,3.2,4.5,3.85,3129500,126872,12687.2
P09810,Velachery,1963,74,3,2,5,No,4.1,2,3.05,4332350,144412,14441.2
P06309,Anna Nagar,1997,86,2,1,5,No,3.1,4.2,3.65,4944720,130890,13089
P02728,Adyar,939,49,1,1,3,Yes,4.6,4.1,4.35,3818970,19095,1909.5
P07655,Adyar,905,59,1,1,3,Yes,3.3,4.9,4.1,4515320,46311,4631.1
P00124,Chrompet,1292,8,2,1,4,Yes,5,4.6,4.8,3215850,99802,9980.2
P02546,Velachery,1703,131,2,1,4,No,2.5,4.8,3.65,4898680,125607,12560.7
P08013,T Nagar,1878,143,2,1,5,No,5,3.1,4.05,8509260,255278,25527.8
P01044,Anna Nagar,1534,94,1,1,4,Yes,4.1,2.3,3.2,3006290,72151,7215.1
P02295,Adyar,747,60,1,1,2,Yes,4.6,2.1,3.35,3244900,54082,5408.2
P10011,Velachery,1949,169,3,2,5,No,2.7,2.4,2.55,4424780,179757,17975.7
P08259,Chrompet,1011,52,1,1,3,No,3.3,3.9,3.6,2709140,76194,7619.4
P01716,Adyar,740,130,1,1,2,Yes,4.2,4.8,4.5,2807240,90556,9055.6
P04251,Karapakkam,629,89,1,1,2,No,3.9,4.5,4.2,1232180,61609,6160.9
P08497,Velachery,1730,72,2,1,4,No,3.5,4.4,3.95,4942820,104059,10405.9
P00835,Chrompet,703,77,1,1,2,No,3.2,2.3,2.75,2619590,95258,9525.8
P00996,Chrompet,1209,48,2,1,4,Yes,4.1,2.5,3.3,2507490,48221,4822.1
P09897,Velachery,1561,171,2,1,4,Yes,2.7,4.7,3.7,3483870,119447,11944.7
P05993,KK Nagar,2400,197,4,2,6,No,4.9,3.4,4.15,7219800,351734,35173.4
P09757,Velachery,1589,62,2,1,4,Yes,3.7,3.5,3.6,3311060,116861,11686.1
P04654,KK Nagar,1390,58,2,1,4,Yes,4.8,2.6,3.7,5108550,242656,24265.6
P03643,Chrompet,883,185,1,1,3,No,3.7,4.2,3.95,3189660,153576,15357.6
P05939,KK Nagar,2423,113,4,2,6,No,4.7,3.2,3.95,7102720,149531,14953.1
P01192,Anna Nagar,1895,197,2,1,5,Yes,4.3,2,3.15,4675720,146951,14695.1
P03238,Chrompet,1201,27,2,1,4,No,2.7,3.2,2.95,4249390,185911,18591.1
P05146,Karapakkam,1092,68,1,1,3,No,2.4,2.8,2.6,4420910,78594,7859.4
P07037,T Nagar,1658,159,1,1,4,No,3,4.6,3.8,3981540,68255,6825.5
P07214,KK Nagar,1547,10,2,1,4,No,4.6,2.7,3.65,6321020,224747,22474.7
P01461,Adyar,1162,19,1,1,3,Yes,3.9,3.1,3.5,3613490,80300,8030
P01648,Karapakkam,1401,42,2,2,4,No,4.1,4.2,4.15,2036710,101835,10183.5
P02175,KK Nagar,1558,182,2,1,4,No,3.1,4.5,3.8,5664750,151060,15106
P04120,Karapakkam,909,70,1,1,3,No,2.3,4.9,3.6,2237540,59229,5922.9
P05988,Adyar,957,141,1,1,3,No,3.7,4.8,4.25,3573890,44674,4467.4
P05721,Karapakkam,1664,137,2,2,4,Yes,3.1,3.5,3.3,4171680,115880,11588
P04464,Anna Nagar,1650,178,1,1,4,No,2.2,2,2.1,5134030,348381,34838.1
P01630,Karapakkam,881,15,1,1,2,No,3.2,2.8,3,2034380,122063,12206.3
P00091,Chrompet,746,18,1,1,2,Yes,2,4.5,3.25,2678280,96418,9641.8
P09356,Chrompet,1053,110,1,1,3,No,2.1,2.9,2.5,2724280,93647,9364.7
P02683,Karapakkam,1211,188,1,1,3,No,4.2,4.5,4.35,2866960,221958,22195.8
P03759,Anna Nagar,1990,181,2,1,5,No,2.2,2.3,2.25,3546750,158992,15899.2
P06093,Chrompet,1300,198,2,1,4,No,3.3,2,2.65,2996110,46814,4681.4
P03388,Velachery,1655,0,2,1,4,Yes,3.6,3.9,3.75,4703560,209047,20904.7
P09467,Adyar,710,177,1,1,2,No,4.9,3.1,4,1778910,45613,4561.3
P09859,Velachery,1884,189,3,2,5,No,2.9,2.9,2.9,2882040,108076,10807.6
P09609,Velachery,1520,153,2,1,4,Yes,3.9,3.6,3.75,3807590,130886,13088.6
P04896,KK Nagar,1498,160,2,1,4,Yes,3,3.1,3.05,4724160,164319,16431.9
P05949,Anna Nagar,1892,122,2,1,5,Yes,2.5,4.9,3.7,3999570,146651,14665.1
P02002,Karapakkam,638,5,1,1,2,Yes,4,2.9,3.45,1997570,73595,7359.5
P06714,Chrompet,780,88,1,1,2,No,4.5,3.2,3.85,3133280,31333,3133.3
P08095,Anna Nagar,1942,49,2,1,5,No,3.4,2.6,3,3654930,121831,12183.1
P01638,Karapakkam,1424,171,2,2,4,No,4.3,4.2,4.25,4106510,136884,13688.4
P00202,Chrompet,1225,126,2,1,4,Yes,5,4.1,4.55,2809000,183665,18366.5
P01621,Chrompet,1248,13,2,1,4,No,4.4,4.1,4.25,3005420,82908,8290.8
P09424,Velachery,1773,190,2,1,4,Yes,2.8,3.6,3.2,3451450,159298,15929.8
P00490,Chrompet,857,38,1,1,3,Yes,2.1,5,3.55,3729970,102896,10289.6
P04205,Karapakkam,1640,89,2,2,4,Yes,2.8,3,2.9,4461210,148707,14870.7
P02379,KK Nagar,2396,61,4,2,6,Yes,2.2,5,3.6,4381180,331908,33190.8
P06620,Karapakkam,1626,10,2,2,4,No,4.7,4.3,4.5,4677900,233895,23389.5
P09646,Velachery,1553,187,2,1,4,No,2.3,2.6,2.45,4464110,216005,21600.5
P05688,KK Nagar,1317,182,1,1,3,Yes,2.9,3.6,3.25,4008570,263722,26372.2
P08878,Chrompet,759,59,1,1,2,No,4.3,4.9,4.6,2251520,27291,2729.1
P01466,T Nagar,1799,160,1,1,4,Yes,4.6,3.9,4.25,3072780,184367,18436.7
P01940,Karapakkam,900,145,1,1,3,No,3.4,4.5,3.95,2285690,114285,11428.5
P09840,Velachery,1859,2,3,2,5,No,3.9,4.5,4.2,4537650,196631,19663.1
P03990,Chrompet,1077,83,1,1,3,Yes,2.7,3.1,2.9,4525750,160591,16059.1
P09602,Velachery,1670,163,2,1,4,Yes,2.9,3.7,3.3,3241980,148956,14895.6
P09774,Velachery,1922,103,3,2,5,Yes,3.8,3.2,3.5,3562740,152689,15268.9
P06268,Chrompet,920,94,1,1,3,No,3.4,2.7,3.05,2373380,82156,8215.6
P04017,Karapakkam,1244,15,1,1,3,No,3.6,2.6,3.1,2767170,72474,7247.4
P06385,Karapakkam,1356,132,2,2,4,No,4.3,3.3,3.8,5007380,210310,21031
P00024,Chrompet,985,155,1,1,3,Yes,3.5,2.7,3.1,2970920,36011,3601.1
P02663,Velachery,1908,88,3,2,5,No,4.7,2.1,3.4,3672900,164314,16431.4
P03312,Velachery,1932,76,3,2,5,Yes,4.4,3.7,4.05,4058440,233668,23366.8
P04039,Chrompet,1022,162,1,1,3,Yes,2.1,2.9,2.5,3456440,172822,17282.2
P08623,Adyar,1106,163,1,1,3,Yes,2.6,3.3,2.95,2500920,80912,8091.2
P02068,Adyar,1268,142,2,2,4,Yes,4.9,3.8,4.35,4831550,60394,6039.4
P00985,Anna Nagar,1630,175,1,1,4,Yes,4.2,2,3.1,5526870,197388,19738.8
P01659,Velachery,1500,9,2,1,4,No,3.2,4.4,3.8,3879160,181836,18183.6
P00104,Anna Nagar,1594,171,1,1,4,Yes,2,4.8,3.4,6421850,350283,35028.3
P02958,KK Nagar,1858,200,3,2,5,Yes,3.8,2.9,3.35,5736490,199530,19953
P07934,Chrompet,1237,197,2,1,4,Yes,3.2,3,3.1,5053020,268442,26844.2
P00440,Chrompet,1292,69,2,1,4,Yes,4.2,3.6,3.9,4378120,196260,19626
P02043,Chrompet,985,95,1,1,3,No,3.5,3.6,3.55,3934960,110671,11067.1
P04689,Velachery,1540,39,2,1,4,Yes,4.2,4.8,4.5,5305830,114721,11472.1
P02836,Velachery,1975,80,3,2,5,No,3.1,3.6,3.35,3288510,151777,15177.7
P06335,Velachery,1605,191,2,1,4,No,4.2,4.1,4.15,4087470,178172,17817.2
P08934,Chrompet,1043,80,1,1,3,No,3.2,4.4,3.8,2429330,32391,3239.1
P04671,Anna Nagar,1551,146,1,1,4,Yes,2.8,4.8,3.8,4744700,179529,17952.9
P05317,Karapakkam,794,191,1,1,2,No,4.4,3.5,3.95,1395120,61037,6103.7
P03701,KK Nagar,1389,116,2,1,4,No,3.7,3.1,3.4,3051750,197466,19746.6
P06070,Anna Nagar,1932,197,2,1,5,Yes,3.9,3.9,3.9,5581110,372074,37207.4
P08116,Adyar,794,133,1,1,2,Yes,4.4,3.5,3.95,2406690,19000,1900
P05140,Chrompet,1242,40,2,1,4,No,4,2.3,3.15,2423920,142092,14209.2
P01373,T Nagar,1752,27,1,1,4,Yes,4.6,3,3.8,4030710,225246,22524.6
P02628,KK Nagar,1603,181,2,1,4,Yes,4.1,3.8,3.95,4364010,190226,19022.6
P04773,Chrompet,703,61,1,1,2,Yes,2.5,3,2.75,2455740,81858,8185.8
P09842,Velachery,1776,121,2,1,4,Yes,3.1,2,2.55,6240580,344874,34487.4
P03099,KK Nagar,2060,40,3,2,5,No,2.2,2.1,2.15,6040370,185857,18585.7
P09083,Adyar,1077,167,1,1,3,Yes,2.6,4.9,3.75,5302920,13955,1395.5
P03650,KK Nagar,2189,176,3,2,5,No,3.5,3.2,3.35,5754560,431592,43159.2
P03539,Karapakkam,1104,10,1,1,3,Yes,3.3,4.9,4.1,4326420,122268,12226.8
P03275,Karapakkam,778,77,1,1,2,No,4.5,4.4,4.45,1628190,96811,9681.1
P03380,KK Nagar,1592,148,2,1,4,No,3.1,4.6,3.85,5007500,148872,14887.2
P03937,Karapakkam,537,77,1,1,2,No,4.6,2.2,3.4,2237790,99458,9945.8
P08991,T Nagar,1761,82,1,1,4,No,4.8,4.4,4.6,7209120,253293,25329.3
P00497,Chrompet,843,96,1,1,3,Yes,2.8,4.2,3.5,3268240,56349,5634.9
P00592,Chrompet,1108,8,1,1,3,Yes,3.9,2,2.95,2840500,82466,8246.6
P06365,KK Nagar,2183,52,3,2,5,No,2.9,4.4,3.65,3432530,217393,21739.3
P00271,Anna Nagar,1675,150,1,1,4,Yes,5,3.9,4.45,3948050,74026,7402.6
P03477,Adyar,951,82,1,1,3,No,2,4.8,3.4,2095940,33806,3380.6
P05922,Chrompet,1021,117,1,1,3,No,3.8,2.3,3.05,2955730,89568,8956.8
P08761,Anna Nagar,1723,111,1,1,4,No,4.9,4,4.45,4014760,100369,10036.9
P08734,Velachery,1846,35,3,2,5,No,3.8,2.5,3.15,3961210,172668,17266.8
P08183,Chrompet,732,8,1,1,2,No,2.4,2.1,2.25,2160380,74496,7449.6
P07804,Velachery,1531,169,2,1,4,Yes,4.9,4.1,4.5,5042030,168068,16806.8
P05385,Karapakkam,560,160,1,1,2,No,4.3,4.7,4.5,1915830,114038,11403.8
P02614,Velachery,1752,1,2,1,4,No,4.1,3.3,3.7,3106200,138053,13805.3
P03042,Karapakkam,1173,182,1,1,3,No,3.6,3.3,3.45,3179440,137294,13729.4
P07999,KK Nagar,2327,95,4,2,6,Yes,4.3,4,4.15,5903280,276324,27632.4
P08510,Velachery,1561,9,2,1,4,Yes,2.2,2.7,2.45,4342420,86848,8684.8
P00318,Anna Nagar,1825,63,2,1,5,No,2.8,3,2.9,5087740,127194,12719.4
P03605,T Nagar,1885,187,2,1,5,No,4.9,2,3.45,4934750,116876,11687.6
P00417,T Nagar,1602,12,1,1,4,No,4.9,3.9,4.4,6997180,94557,9455.7
P07324,T Nagar,1934,190,2,1,5,Yes,2.4,4.6,3.5,8511780,268793,26879.3
P07491,Adyar,1288,48,2,2,4,No,4.6,4.9,4.75,3488010,93014,9301.4
P01969,T Nagar,1803,168,2,1,5,No,2,3.4,2.7,3441640,63734,6373.4
P03364,Chrompet,1175,128,1,1,3,No,2.5,3.3,2.9,4102310,218790,21879
P04864,Karapakkam,760,139,1,1,2,No,4.6,4,4.3,1758150,114042,11404.2
P06176,Karapakkam,1344,68,2,2,4,No,4.9,3,3.95,4122110,219846,21984.6
P05545,Karapakkam,1413,154,2,2,4,Yes,4.7,2.8,3.75,4813040,143367,14336.7
P04265,Velachery,1891,155,3,2,5,Yes,3.5,4.3,3.9,6342100,281871,28187.1
P09759,Velachery,1766,126,2,1,4,No,2.1,4.4,3.25,2509850,88184,8818.4
P01311,Chrompet,1182,81,1,1,3,Yes,3.9,2.8,3.35,3744350,166415,16641.5
P08957,Chrompet,1267,49,2,1,4,Yes,4,5,4.5,3603300,168154,16815.4
P05178,Karapakkam,1130,24,1,1,3,Yes,2.7,4.8,3.75,3982750,191172,19117.2
P05903,Karapakkam,961,200,1,1,3,No,3.3,2.9,3.1,2520550,87926,8792.6
P08204,KK Nagar,2434,104,4,2,6,Yes,4.6,4.4,4.5,6228170,254789,25478.9
P09487,Velachery,1787,151,2,1,4,No,2.9,3.3,3.1,2355030,125111,12511.1
P00333,Chrompet,795,63,1,1,2,Yes,2.1,4.1,3.1,1960060,70562,7056.2
P04429,Karapakkam,597,135,1,1,2,No,3.1,2.3,2.7,1288100,49768,4976.8
P08606,Adyar,1277,183,2,2,4,Yes,4.4,2.6,3.5,3288510,82213,8221.3
P08521,T Nagar,1710,61,1,1,4,Yes,4.6,4,4.3,6904130,90844,9084.4
P01348,Chrompet,941,30,1,1,3,No,3.1,4.8,3.95,1839380,77820,7782
P09547,Adyar,1202,43,2,2,4,No,5,4.3,4.65,4640940,29942,2994.2
P01228,Anna Nagar,1933,42,2,1,5,No,3.4,4.1,3.75,4857430,138784,13878.4
P03920,Karapakkam,1370,99,2,2,4,Yes,4.5,2.2,3.35,3495170,281869,28186.9
P06086,KK Nagar,1399,125,2,1,4,Yes,2.6,4.3,3.45,6255270,114893,11489.3
P00059,Chrompet,1189,127,1,1,3,No,4.1,4.2,4.15,2156450,77632,7763.2
P02949,Karapakkam,1046,45,1,1,3,No,2.7,3.4,3.05,2790690,112957,11295.7
P06025,Karapakkam,570,151,1,1,2,Yes,4.7,3.2,3.95,2336690,74090,7409
P03424,T Nagar,1738,103,1,1,4,Yes,4.5,3.4,3.95,4228840,259187,25918.7
P05089,Adyar,1290,112,2,2,4,Yes,2.2,4.6,3.4,4732940,177485,17748.5
P00348,Chrompet,830,64,1,1,3,No,2,3.2,2.6,3017140,156444,15644.4
P09247,Chrompet,1239,190,2,1,4,No,4.8,3.7,4.25,2155560,89195,8919.5
P04547,T Nagar,1686,54,1,1,4,Yes,3.4,4.6,4,4611720,158116,15811.6
P07493,Anna Nagar,1984,172,2,1,5,Yes,2.1,3.3,2.7,8896310,422575,42257.5
P07052,Velachery,1521,65,2,1,4,No,3.1,4.7,3.9,4209750,99053,9905.3
P09442,Adyar,1057,170,1,1,3,No,3.5,2.1,2.8,4256520,125192,12519.2
P06829,Anna Nagar,1846,144,2,1,5,No,3,2.3,2.65,5688620,156928,15692.8
P06388,Adyar,1212,122,2,2,4,No,3.1,3.5,3.3,4032970,106131,10613.1
P04985,T Nagar,1601,123,1,1,4,Yes,3.2,2.7,2.95,4042120,65196,6519.6
P02152,Chrompet,926,183,1,1,3,No,2.6,3.3,2.95,3147030,83921,8392.1
P01764,T Nagar,1835,21,2,1,5,Yes,2.2,2.8,2.5,5940870,122915,12291.5
P02666,Adyar,1267,130,2,2,4,Yes,2.6,4.2,3.4,3778480,80150,8015
P01696,Karapakkam,1131,45,1,1,3,Yes,2.4,3,2.7,3230770,199547,19954.7
P02821,Chrompet,855,115,1,1,3,No,2.4,2.2,2.3,3929290,47628,4762.8
P09878,Velachery,1766,125,2,1,4,Yes,4.2,4.5,4.35,4129050,127048,12704.8
P03075,Karapakkam,543,99,1,1,2,Yes,4.8,2.5,3.65,2977350,116505,11650.5
